time,NO2,CO,SO2
2025-08-31,4.948597415932454e-05,0.0282698664814233,5.835148112964816e-05
2025-09-01,4.543573595583439e-05,0.0234876722097396,5.835148112964816e-05
2025-09-02,3.8193124055396765e-05,0.0259767733514308,0.0002019321109401
2025-09-03,7.869069668231532e-05,0.0260917171835899,1.6534342648810707e-05
2025-09-04,6.042393215466291e-05,0.0278118265171845,0.0006489308434538
2025-09-05,3.950735117541626e-05,0.0295319358507791,6.919027509866282e-05
2025-09-06,4.869509393756744e-05,0.0312520451843738,0.00013313554154588143
2025-09-07,5.788283669971861e-05,0.0298329622795184,0.0001970808079931
2025-09-08,6.009635156563794e-05,0.028413879374663,9.53271107088e-05
2025-09-09,6.230986643155727e-05,0.0269947964698076,0.000124453150419825
2025-09-10,6.452338129747659e-05,0.0176567398011684,0.00015357919013085
2025-09-11,3.931847822968848e-05,0.0221993355080485,0.000182705229841875
2025-09-12,3.789855327340774e-05,0.0267419312149286,0.0002118312695529
2025-09-13,0.0001143165500252,0.0320916064083576,0.0002679244498722
2025-09-14,3.55546799255535e-05,0.0263917855918407,0.0002371883844413
2025-09-15,6.784814468119293e-05,0.02822630479931825,0.0002064523190104
2025-09-16,8.230789535446092e-05,0.0300608240067958,0.0001757162535795
2025-09-17,7.92886785347946e-05,0.0274719838052988,2.5734496375662275e-05
2025-09-18,7.626946171512827e-05,0.0275805834680795,5.9844712723108184e-05
2025-09-19,7.325024489546195e-05,0.0276891831308603,9.39549290705541e-05
2025-09-20,7.023102807579562e-05,0.0265409145504236,0.000128065145418
2025-09-21,6.72118112561293e-05,0.0253926459699869,0.0001621753617655
2025-09-22,3.539738827385008e-05,0.0285316295921802,0.000779919559136
2025-09-23,0.0004165969148743,0.0351857095956802,0.0002717293682508
2025-09-24,0.0006313444464467,0.0437225885689258,0.0003542336635291
2025-09-25,7.854049908928573e-05,0.025250744074583,0.0001859120930020875
2025-09-26,7.036380702629685e-05,0.0291372910141944,1.7590522475074977e-05
2025-09-27,4.355546843726188e-05,0.0346178784966468,0.0003887970233336
2025-09-28,4.181465556030162e-05,0.0329674929380416,0.00029856470791855003
2025-09-29,6.945918721612543e-05,0.0279084760695695,0.0002083323925035
2025-09-30,8.575421088605029e-05,0.0289080577592054,0.0001545066006656
2025-10-01,0.0001020492345559,0.029907639448841353,0.0001006808088277
2025-10-02,0.0001183442582259,0.0309072211384773,4.685501698986627e-05
2025-10-03,9.306429274147376e-05,0.0332050509750843,0.0002868857118301
2025-10-04,8.600572618888691e-05,0.0304382797330617,0.00030453465296886
2025-10-05,9.234569733962417e-05,0.0312928855419158,0.00032218359410762
2025-10-06,8.707982487976551e-05,0.0337758660316467,0.00033983253524637997
2025-10-07,0.0001493558374932,0.0417798347771167,0.00035748147638514
2025-10-08,0.0001657935936236,0.040676325559616,0.0003751304175239
2025-10-09,0.0001481005310779,0.0395728163421154,0.0003578061895335353
